X,CH1,CH2,
Second,Volt,Volt,
-1.52000e-06,4.00e-01,1.16e+01,
-1.50000e-06,4.00e-01,1.12e+01,
-1.48000e-06,4.00e-01,1.16e+01,
-1.46000e-06,4.00e-01,1.16e+01,
-1.44000e-06,4.00e-01,1.12e+01,
-1.42000e-06,4.00e-01,1.16e+01,
-1.40000e-06,4.00e-01,1.16e+01,
-1.38000e-06,4.00e-01,1.12e+01,
-1.36000e-06,4.00e-01,1.16e+01,
-1.34000e-06,4.00e-01,1.12e+01,
-1.32000e-06,4.00e-01,1.16e+01,
-1.30000e-06,4.00e-01,1.16e+01,
-1.28000e-06,4.00e-01,1.12e+01,
-1.26000e-06,4.00e-01,1.12e+01,
-1.24000e-06,4.00e-01,1.16e+01,
-1.22000e-06,4.00e-01,1.16e+01,
-1.20000e-06,4.00e-01,1.16e+01,
-1.18000e-06,4.00e-01,1.16e+01,
-1.16000e-06,4.00e-01,1.12e+01,
-1.14000e-06,4.00e-01,1.16e+01,
-1.12000e-06,4.00e-01,1.12e+01,
-1.10000e-06,4.00e-01,1.16e+01,
-1.08000e-06,4.00e-01,1.16e+01,
-1.06000e-06,4.00e-01,1.16e+01,
-1.04000e-06,4.00e-01,1.16e+01,
-1.02000e-06,4.00e-01,1.16e+01,
-1.00000e-06,4.00e-01,1.16e+01,
-9.80000e-07,4.00e-01,1.16e+01,
-9.60000e-07,4.00e-01,1.16e+01,
-9.40000e-07,4.00e-01,1.16e+01,
-9.20000e-07,4.00e-01,1.12e+01,
-9.00000e-07,4.00e-01,1.16e+01,
-8.80000e-07,4.00e-01,1.16e+01,
-8.60000e-07,4.00e-01,1.16e+01,
-8.40000e-07,4.00e-01,1.16e+01,
-8.20000e-07,4.00e-01,1.16e+01,
-8.00000e-07,4.00e-01,1.16e+01,
-7.80000e-07,4.00e-01,1.16e+01,
-7.60000e-07,4.00e-01,1.16e+01,
-7.40000e-07,4.00e-01,1.16e+01,
-7.20000e-07,4.00e-01,1.16e+01,
-7.00000e-07,4.00e-01,1.16e+01,
-6.80000e-07,4.00e-01,1.16e+01,
-6.60000e-07,4.00e-01,1.16e+01,
-6.40000e-07,4.00e-01,1.16e+01,
-6.20000e-07,4.00e-01,1.16e+01,
-6.00000e-07,4.00e-01,1.12e+01,
-5.80000e-07,4.00e-01,1.16e+01,
-5.60000e-07,4.00e-01,1.16e+01,
-5.40000e-07,4.00e-01,1.16e+01,
-5.20000e-07,4.00e-01,1.16e+01,
-5.00000e-07,4.00e-01,1.16e+01,
-4.80000e-07,4.00e-01,1.16e+01,
-4.60000e-07,4.00e-01,1.16e+01,
-4.40000e-07,4.00e-01,1.12e+01,
-4.20000e-07,4.00e-01,1.12e+01,
-4.00000e-07,4.00e-01,1.12e+01,
-3.80000e-07,4.00e-01,1.16e+01,
-3.60000e-07,4.00e-01,1.16e+01,
-3.40000e-07,4.00e-01,1.16e+01,
-3.20000e-07,4.00e-01,1.12e+01,
-3.00000e-07,4.00e-01,1.12e+01,
-2.80000e-07,4.00e-01,1.16e+01,
-2.60000e-07,4.00e-01,1.16e+01,
-2.40000e-07,4.00e-01,1.16e+01,
-2.20000e-07,4.00e-01,1.16e+01,
-2.00000e-07,4.00e-01,1.12e+01,
-1.80000e-07,4.00e-01,1.16e+01,
-1.60000e-07,4.00e-01,1.16e+01,
-1.40000e-07,4.00e-01,1.12e+01,
-1.20000e-07,4.00e-01,1.12e+01,
-9.99998e-08,4.00e-01,1.12e+01,
-8.00000e-08,4.60e-01,1.16e+01,
-6.00002e-08,3.20e-01,1.00e+01,
-3.99999e-08,-2.40e-01,6.40e+00,
-2.00002e-08,-4.40e-01,5.60e+00,
8.40705e-14,4.00e-02,7.20e+00,
1.99999e-08,1.40e-01,9.60e+00,
4.00001e-08,2.60e-01,1.16e+01,
5.99999e-08,2.00e-01,1.32e+01,
8.00001e-08,1.60e-01,1.40e+01,
9.99999e-08,2.40e-01,1.44e+01,
1.20000e-07,2.60e-01,1.40e+01,
1.40000e-07,3.60e-01,1.32e+01,
1.60000e-07,4.40e-01,1.28e+01,
1.80000e-07,4.80e-01,1.16e+01,
2.00000e-07,5.80e-01,1.12e+01,
2.20000e-07,6.20e-01,1.12e+01,
2.40000e-07,6.60e-01,1.12e+01,
2.60000e-07,7.00e-01,1.12e+01,
2.80000e-07,6.80e-01,1.16e+01,
3.00000e-07,6.60e-01,1.16e+01,
3.20000e-07,6.00e-01,1.24e+01,
3.40000e-07,5.20e-01,1.24e+01,
3.60000e-07,4.20e-01,1.20e+01,
3.80000e-07,3.20e-01,1.20e+01,
4.00000e-07,2.00e-01,1.16e+01,
4.20000e-07,1.40e-01,1.12e+01,
4.40000e-07,1.00e-01,1.08e+01,
4.60000e-07,1.20e-01,1.08e+01,
4.80000e-07,1.60e-01,1.08e+01,
5.00000e-07,2.00e-01,1.12e+01,
5.20000e-07,2.60e-01,1.12e+01,
5.40000e-07,3.20e-01,1.16e+01,
5.60000e-07,3.80e-01,1.20e+01,
5.80000e-07,4.40e-01,1.20e+01,
6.00000e-07,4.80e-01,1.20e+01,
6.20000e-07,5.20e-01,1.20e+01,
6.40000e-07,5.60e-01,1.20e+01,
6.60000e-07,6.00e-01,1.20e+01,
6.80000e-07,5.80e-01,1.20e+01,
7.00000e-07,5.80e-01,1.20e+01,
7.20000e-07,5.60e-01,1.20e+01,
7.40000e-07,7.00e-01,1.20e+01,
7.60000e-07,4.00e-02,8.40e+00,
7.80000e-07,-7.60e-01,3.60e+00,
8.00000e-07,-1.50e+00,8.00e-01,
8.20000e-07,-1.38e+00,1.20e+00,
8.40000e-07,-8.80e-01,2.80e+00,
8.60000e-07,-7.80e-01,4.80e+00,
8.80000e-07,-5.40e-01,6.40e+00,
9.00000e-07,-7.00e-01,7.60e+00,
9.20000e-07,-4.80e-01,9.20e+00,
9.40000e-07,-3.40e-01,1.12e+01,
9.60000e-07,-2.60e-01,1.40e+01,
9.80000e-07,-6.00e-02,1.52e+01,
1.00000e-06,1.20e-01,1.60e+01,
1.02000e-06,4.60e-01,1.52e+01,
1.04000e-06,6.80e-01,1.40e+01,
1.06000e-06,9.40e-01,1.32e+01,
1.08000e-06,1.14e+00,1.24e+01,
1.10000e-06,1.24e+00,1.20e+01,
1.12000e-06,1.36e+00,1.20e+01,
1.14000e-06,1.30e+00,1.20e+01,
1.16000e-06,1.22e+00,1.16e+01,
1.18000e-06,1.02e+00,1.20e+01,
1.20000e-06,8.20e-01,1.20e+01,
1.22000e-06,5.40e-01,1.20e+01,
1.24000e-06,2.40e-01,1.20e+01,
1.26000e-06,-4.00e-02,1.12e+01,
1.28000e-06,-2.80e-01,1.08e+01,
1.30000e-06,-4.20e-01,1.08e+01,
1.32000e-06,-4.80e-01,1.00e+01,
1.34000e-06,-4.60e-01,1.00e+01,
1.36000e-06,-3.80e-01,1.00e+01,
1.38000e-06,-2.20e-01,1.08e+01,
1.40000e-06,-4.00e-02,1.12e+01,
1.42000e-06,2.00e-01,1.16e+01,
1.44000e-06,4.20e-01,1.24e+01,
1.46000e-06,6.20e-01,1.28e+01,
1.48000e-06,7.60e-01,1.28e+01,
1.50000e-06,8.80e-01,1.32e+01,
1.52000e-06,9.80e-01,1.32e+01,
1.54000e-06,1.06e+00,1.32e+01,
1.56000e-06,1.06e+00,1.32e+01,
1.58000e-06,1.02e+00,1.36e+01,
1.60000e-06,9.20e-01,1.32e+01,
1.62000e-06,8.00e-01,1.28e+01,
1.64000e-06,6.40e-01,1.28e+01,
1.66000e-06,4.60e-01,1.24e+01,
1.68000e-06,2.80e-01,1.24e+01,
1.70000e-06,1.60e-01,1.20e+01,
1.72000e-06,4.00e-02,1.16e+01,
1.74000e-06,-2.00e-02,1.16e+01,
1.76000e-06,-6.00e-02,1.16e+01,
1.78000e-06,-2.00e-02,1.20e+01,
1.80000e-06,4.00e-02,1.20e+01,
1.82000e-06,1.20e-01,1.24e+01,
1.84000e-06,2.20e-01,1.24e+01,
1.86000e-06,3.60e-01,1.28e+01,
1.88000e-06,5.00e-01,1.36e+01,
1.90000e-06,6.60e-01,1.36e+01,
1.92000e-06,8.20e-01,1.40e+01,
1.94000e-06,9.80e-01,1.36e+01,
1.96000e-06,1.06e+00,1.36e+01,
1.98000e-06,1.14e+00,1.28e+01,
2.00000e-06,1.18e+00,1.24e+01,
2.02000e-06,1.18e+00,1.12e+01,
2.04000e-06,1.14e+00,1.08e+01,
2.06000e-06,1.04e+00,1.00e+01,
2.08000e-06,9.00e-01,9.20e+00,
2.10000e-06,7.20e-01,8.00e+00,
2.12000e-06,6.00e-01,7.20e+00,
2.14000e-06,4.60e-01,6.00e+00,
2.16000e-06,4.20e-01,5.20e+00,
2.18000e-06,3.60e-01,5.20e+00,
2.20000e-06,3.40e-01,4.80e+00,
2.22000e-06,3.20e-01,4.40e+00,
2.24000e-06,3.60e-01,4.40e+00,
2.26000e-06,4.20e-01,3.60e+00,
2.28000e-06,5.40e-01,3.60e+00,
2.30000e-06,6.40e-01,3.60e+00,
2.32000e-06,7.60e-01,3.60e+00,
2.34000e-06,8.80e-01,3.20e+00,
2.36000e-06,9.80e-01,3.20e+00,
2.38000e-06,1.06e+00,2.80e+00,
2.40000e-06,1.10e+00,2.80e+00,
2.42000e-06,1.16e+00,2.80e+00,
2.44000e-06,1.12e+00,2.40e+00,
2.46000e-06,1.08e+00,2.00e+00,
2.48000e-06,1.00e+00,2.00e+00,
2.50000e-06,9.00e-01,1.60e+00,
2.52000e-06,8.00e-01,1.20e+00,
2.54000e-06,7.00e-01,1.20e+00,
2.56000e-06,6.00e-01,4.00e-01,
2.58000e-06,5.40e-01,4.00e-01,
2.60000e-06,4.80e-01,4.00e-01,
2.62000e-06,4.40e-01,4.00e-01,
2.64000e-06,4.40e-01,4.00e-01,
2.66000e-06,4.80e-01,4.00e-01,
2.68000e-06,5.40e-01,4.00e-01,
2.70000e-06,5.80e-01,4.00e-01,
2.72000e-06,6.20e-01,4.00e-01,
2.74000e-06,4.40e-01,0.00e+00,
2.76000e-06,7.00e-01,0.00e+00,
2.78000e-06,8.00e-01,4.00e-01,
2.80000e-06,9.40e-01,4.00e-01,
2.82000e-06,1.00e+00,4.00e-01,
2.84000e-06,1.00e+00,4.00e-01,
2.86000e-06,1.06e+00,4.00e-01,
2.88000e-06,9.60e-01,4.00e-01,
2.90000e-06,1.06e+00,8.00e-01,
2.92000e-06,8.60e-01,4.00e-01,
2.94000e-06,8.80e-01,4.00e-01,
2.96000e-06,6.80e-01,4.00e-01,
2.98000e-06,6.40e-01,4.00e-01,
3.00000e-06,5.20e-01,0.00e+00,
3.02000e-06,4.60e-01,0.00e+00,
3.04000e-06,4.20e-01,0.00e+00,
3.06000e-06,4.00e-01,0.00e+00,
3.08000e-06,4.40e-01,4.00e-01,
3.10000e-06,4.60e-01,4.00e-01,
3.12000e-06,5.20e-01,4.00e-01,
3.14000e-06,5.60e-01,4.00e-01,
3.16000e-06,6.40e-01,8.00e-01,
3.18000e-06,7.20e-01,8.00e-01,
3.20000e-06,8.00e-01,8.00e-01,
3.22000e-06,8.80e-01,1.20e+00,
3.24000e-06,9.20e-01,1.20e+00,
3.26000e-06,9.40e-01,1.20e+00,
3.28000e-06,9.40e-01,1.60e+00,
3.30000e-06,9.20e-01,1.60e+00,
3.32000e-06,8.60e-01,1.60e+00,
3.34000e-06,8.00e-01,1.60e+00,
3.36000e-06,7.40e-01,1.60e+00,
3.38000e-06,6.80e-01,1.60e+00,
3.40000e-06,6.20e-01,1.60e+00,
3.42000e-06,5.60e-01,1.60e+00,
3.44000e-06,5.20e-01,1.60e+00,
3.46000e-06,5.00e-01,2.00e+00,
3.48000e-06,4.80e-01,2.00e+00,
3.50000e-06,5.00e-01,2.00e+00,
3.52000e-06,5.00e-01,2.00e+00,
3.54000e-06,5.40e-01,2.00e+00,
3.56000e-06,5.80e-01,2.00e+00,
3.58000e-06,6.40e-01,2.40e+00,
3.60000e-06,7.20e-01,2.40e+00,
3.62000e-06,9.40e-01,2.80e+00,
3.64000e-06,7.80e-01,1.60e+00,
3.66000e-06,1.02e+00,8.00e-01,
3.68000e-06,9.40e-01,4.00e-01,
3.70000e-06,7.80e-01,0.00e+00,
3.72000e-06,8.60e-01,4.00e-01,
3.74000e-06,5.80e-01,0.00e+00,
3.76000e-06,6.00e-01,4.00e-01,
3.78000e-06,4.20e-01,4.00e-01,
3.80000e-06,3.60e-01,1.20e+00,
3.82000e-06,3.20e-01,2.40e+00,
3.84000e-06,2.20e-01,3.60e+00,
3.86000e-06,3.40e-01,4.80e+00,
3.88000e-06,3.80e-01,4.80e+00,
3.90000e-06,5.60e-01,4.80e+00,
3.92000e-06,6.80e-01,4.80e+00,
3.94000e-06,8.20e-01,4.40e+00,
3.96000e-06,9.40e-01,4.40e+00,
3.98000e-06,1.04e+00,4.00e+00,
4.00000e-06,1.14e+00,4.40e+00,
4.02000e-06,1.16e+00,4.00e+00,
4.04000e-06,1.10e+00,4.00e+00,
4.06000e-06,1.02e+00,4.00e+00,
4.08000e-06,8.60e-01,4.40e+00,
4.10000e-06,7.60e-01,4.00e+00,
4.12000e-06,6.00e-01,4.40e+00,
4.14000e-06,5.00e-01,4.40e+00,
4.16000e-06,4.20e-01,4.00e+00,
4.18000e-06,3.60e-01,3.60e+00,
4.20000e-06,3.20e-01,3.60e+00,
4.22000e-06,3.40e-01,4.00e+00,
4.24000e-06,3.60e-01,4.40e+00,
4.26000e-06,4.00e-01,4.40e+00,
4.28000e-06,4.60e-01,4.80e+00,
4.30000e-06,5.20e-01,4.80e+00,
4.32000e-06,6.40e-01,4.80e+00,
4.34000e-06,7.00e-01,5.20e+00,
4.36000e-06,8.00e-01,5.20e+00,
4.38000e-06,8.60e-01,5.60e+00,
4.40000e-06,9.20e-01,5.60e+00,
4.42000e-06,9.40e-01,5.60e+00,
4.44000e-06,9.40e-01,6.00e+00,
4.46000e-06,9.40e-01,6.00e+00,
4.48000e-06,8.80e-01,6.00e+00,
4.50000e-06,8.20e-01,6.00e+00,
4.52000e-06,7.40e-01,6.00e+00,
4.54000e-06,6.60e-01,6.00e+00,
4.56000e-06,5.80e-01,6.00e+00,
4.58000e-06,5.20e-01,6.00e+00,
4.60000e-06,4.60e-01,6.00e+00,
4.62000e-06,4.40e-01,6.00e+00,
4.64000e-06,4.20e-01,6.00e+00,
4.66000e-06,4.40e-01,6.00e+00,
4.68000e-06,4.60e-01,6.40e+00,
4.70000e-06,4.80e-01,6.40e+00,
4.72000e-06,5.60e-01,6.80e+00,
4.74000e-06,6.00e-01,6.80e+00,
4.76000e-06,7.20e-01,6.80e+00,
4.78000e-06,7.80e-01,7.20e+00,
4.80000e-06,8.80e-01,6.80e+00,
4.82000e-06,9.40e-01,6.80e+00,
4.84000e-06,1.00e+00,6.40e+00,
4.86000e-06,1.04e+00,6.00e+00,
4.88000e-06,1.04e+00,5.20e+00,
4.90000e-06,1.02e+00,4.80e+00,
4.92000e-06,9.20e-01,4.00e+00,
4.94000e-06,8.40e-01,3.60e+00,
4.96000e-06,7.80e-01,2.80e+00,
4.98000e-06,6.80e-01,2.00e+00,
5.00000e-06,6.60e-01,2.00e+00,
5.02000e-06,5.80e-01,1.20e+00,
5.04000e-06,5.60e-01,1.20e+00,
5.06000e-06,5.20e-01,8.00e-01,
5.08000e-06,5.20e-01,4.00e-01,
5.10000e-06,5.60e-01,4.00e-01,
5.12000e-06,5.80e-01,4.00e-01,
5.14000e-06,6.20e-01,4.00e-01,
5.16000e-06,7.20e-01,4.00e-01,
5.18000e-06,7.60e-01,4.00e-01,
5.20000e-06,8.20e-01,4.00e-01,
5.22000e-06,8.80e-01,4.00e-01,
5.24000e-06,9.40e-01,4.00e-01,
5.26000e-06,1.00e+00,4.00e-01,
5.28000e-06,1.00e+00,4.00e-01,
5.30000e-06,1.00e+00,4.00e-01,
5.32000e-06,9.60e-01,4.00e-01,
5.34000e-06,9.40e-01,4.00e-01,
5.36000e-06,8.60e-01,4.00e-01,
5.38000e-06,8.20e-01,4.00e-01,
5.40000e-06,7.40e-01,4.00e-01,
5.42000e-06,7.20e-01,4.00e-01,
5.44000e-06,6.60e-01,0.00e+00,
5.46000e-06,6.20e-01,0.00e+00,
5.48000e-06,6.00e-01,4.00e-01,
5.50000e-06,6.00e-01,0.00e+00,
5.52000e-06,6.00e-01,4.00e-01,
5.54000e-06,6.60e-01,4.00e-01,
5.56000e-06,6.80e-01,4.00e-01,
5.58000e-06,7.40e-01,4.00e-01,
5.60000e-06,7.80e-01,4.00e-01,
5.62000e-06,8.20e-01,4.00e-01,
5.64000e-06,8.60e-01,4.00e-01,
5.66000e-06,8.80e-01,4.00e-01,
5.68000e-06,8.80e-01,4.00e-01,
5.70000e-06,9.40e-01,4.00e-01,
5.72000e-06,9.40e-01,4.00e-01,
5.74000e-06,8.80e-01,4.00e-01,
5.76000e-06,8.60e-01,4.00e-01,
5.78000e-06,8.20e-01,4.00e-01,
5.80000e-06,8.00e-01,4.00e-01,
5.82000e-06,7.40e-01,0.00e+00,
5.84000e-06,7.20e-01,4.00e-01,
5.86000e-06,6.80e-01,0.00e+00,
5.88000e-06,6.60e-01,4.00e-01,
5.90000e-06,6.40e-01,0.00e+00,
5.92000e-06,6.60e-01,0.00e+00,
5.94000e-06,6.60e-01,4.00e-01,
5.96000e-06,6.80e-01,0.00e+00,
5.98000e-06,7.20e-01,4.00e-01,
6.00000e-06,7.20e-01,4.00e-01,
6.02000e-06,7.80e-01,4.00e-01,
6.04000e-06,8.00e-01,4.00e-01,
6.06000e-06,8.40e-01,4.00e-01,
6.08000e-06,8.40e-01,4.00e-01,
6.10000e-06,8.80e-01,4.00e-01,
6.12000e-06,8.80e-01,4.00e-01,
6.14000e-06,8.60e-01,4.00e-01,
6.16000e-06,8.40e-01,4.00e-01,
6.18000e-06,8.40e-01,4.00e-01,
6.20000e-06,8.20e-01,4.00e-01,
6.22000e-06,7.80e-01,4.00e-01,
6.24000e-06,7.60e-01,4.00e-01,
6.26000e-06,7.20e-01,4.00e-01,
6.28000e-06,7.00e-01,0.00e+00,
6.30000e-06,7.00e-01,4.00e-01,
6.32000e-06,6.80e-01,4.00e-01,
6.34000e-06,6.80e-01,4.00e-01,
6.36000e-06,7.00e-01,0.00e+00,
6.38000e-06,7.20e-01,0.00e+00,
6.40000e-06,7.20e-01,4.00e-01,
6.42000e-06,7.40e-01,4.00e-01,
6.44000e-06,7.60e-01,4.00e-01,
6.46000e-06,8.00e-01,4.00e-01,
6.48000e-06,8.20e-01,4.00e-01,
6.50000e-06,8.20e-01,4.00e-01,
6.52000e-06,8.40e-01,4.00e-01,
6.54000e-06,8.40e-01,4.00e-01,
6.56000e-06,8.40e-01,4.00e-01,
6.58000e-06,8.20e-01,4.00e-01,
6.60000e-06,8.20e-01,4.00e-01,
6.62000e-06,8.00e-01,4.00e-01,
6.64000e-06,7.80e-01,0.00e+00,
6.66000e-06,7.60e-01,4.00e-01,
6.68000e-06,7.20e-01,0.00e+00,
6.70000e-06,7.20e-01,4.00e-01,
6.72000e-06,7.20e-01,4.00e-01,
6.74000e-06,7.20e-01,4.00e-01,
6.76000e-06,7.20e-01,4.00e-01,
6.78000e-06,7.20e-01,4.00e-01,
6.80000e-06,7.20e-01,4.00e-01,
6.82000e-06,7.40e-01,4.00e-01,
6.84000e-06,7.40e-01,4.00e-01,
6.86000e-06,7.80e-01,0.00e+00,
6.88000e-06,7.80e-01,4.00e-01,
6.90000e-06,8.20e-01,4.00e-01,
6.92000e-06,8.20e-01,4.00e-01,
6.94000e-06,8.20e-01,4.00e-01,
6.96000e-06,8.20e-01,4.00e-01,
6.98000e-06,8.20e-01,4.00e-01,
7.00000e-06,8.20e-01,4.00e-01,
7.02000e-06,8.00e-01,4.00e-01,
7.04000e-06,7.80e-01,4.00e-01,
7.06000e-06,7.80e-01,0.00e+00,
7.08000e-06,7.60e-01,0.00e+00,
7.10000e-06,7.40e-01,4.00e-01,
7.12000e-06,7.20e-01,4.00e-01,
7.14000e-06,7.20e-01,4.00e-01,
7.16000e-06,7.20e-01,4.00e-01,
7.18000e-06,7.20e-01,4.00e-01,
7.20000e-06,7.20e-01,4.00e-01,
7.22000e-06,7.40e-01,4.00e-01,
7.24000e-06,7.40e-01,4.00e-01,
7.26000e-06,7.60e-01,4.00e-01,
7.28000e-06,7.60e-01,4.00e-01,
7.30000e-06,7.80e-01,4.00e-01,
7.32000e-06,7.80e-01,4.00e-01,
7.34000e-06,8.00e-01,4.00e-01,
7.36000e-06,8.20e-01,4.00e-01,
7.38000e-06,8.00e-01,4.00e-01,
7.40000e-06,8.00e-01,4.00e-01,
7.42000e-06,8.00e-01,4.00e-01,
7.44000e-06,7.80e-01,4.00e-01,
7.46000e-06,7.80e-01,4.00e-01,
7.48000e-06,7.60e-01,0.00e+00,
7.50000e-06,7.60e-01,4.00e-01,
7.52000e-06,7.40e-01,4.00e-01,
7.54000e-06,7.20e-01,4.00e-01,
7.56000e-06,7.20e-01,4.00e-01,
7.58000e-06,7.40e-01,4.00e-01,
7.60000e-06,7.20e-01,4.00e-01,
7.62000e-06,7.20e-01,4.00e-01,
7.64000e-06,7.40e-01,4.00e-01,
7.66000e-06,7.40e-01,4.00e-01,
7.68000e-06,7.60e-01,4.00e-01,
7.70000e-06,7.60e-01,4.00e-01,
7.72000e-06,7.60e-01,4.00e-01,
7.74000e-06,7.80e-01,4.00e-01,
7.76000e-06,7.80e-01,4.00e-01,
7.78000e-06,7.80e-01,4.00e-01,
7.80000e-06,7.80e-01,4.00e-01,
7.82000e-06,7.80e-01,4.00e-01,
7.84000e-06,7.80e-01,4.00e-01,
7.86000e-06,7.60e-01,4.00e-01,
7.88000e-06,7.60e-01,4.00e-01,
7.90000e-06,7.60e-01,4.00e-01,
7.92000e-06,7.40e-01,4.00e-01,
7.94000e-06,7.40e-01,4.00e-01,
7.96000e-06,7.40e-01,0.00e+00,
7.98000e-06,7.40e-01,4.00e-01,
8.00000e-06,7.40e-01,4.00e-01,
8.02000e-06,7.40e-01,0.00e+00,
8.04000e-06,7.40e-01,0.00e+00,
8.06000e-06,7.40e-01,4.00e-01,
8.08000e-06,7.40e-01,4.00e-01,
8.10000e-06,7.60e-01,0.00e+00,
8.12000e-06,7.60e-01,4.00e-01,
8.14000e-06,7.60e-01,4.00e-01,
8.16000e-06,7.80e-01,4.00e-01,
8.18000e-06,7.80e-01,4.00e-01,
8.20000e-06,7.80e-01,4.00e-01,
8.22000e-06,7.80e-01,4.00e-01,
8.24000e-06,7.80e-01,4.00e-01,
8.26000e-06,7.60e-01,4.00e-01,
8.28000e-06,7.60e-01,4.00e-01,
8.30000e-06,7.60e-01,4.00e-01,
8.32000e-06,7.60e-01,4.00e-01,
8.34000e-06,7.60e-01,4.00e-01,
8.36000e-06,7.40e-01,4.00e-01,
8.38000e-06,7.40e-01,0.00e+00,
8.40000e-06,7.40e-01,4.00e-01,
8.42000e-06,7.40e-01,4.00e-01,
8.44000e-06,7.40e-01,4.00e-01,
8.46000e-06,7.40e-01,4.00e-01,
8.48000e-06,7.40e-01,0.00e+00,
8.50000e-06,7.60e-01,0.00e+00,
8.52000e-06,7.60e-01,4.00e-01,
8.54000e-06,7.60e-01,4.00e-01,
8.56000e-06,7.60e-01,4.00e-01,
8.58000e-06,7.60e-01,4.00e-01,
8.60000e-06,7.60e-01,4.00e-01,
8.62000e-06,7.80e-01,4.00e-01,
8.64000e-06,7.60e-01,4.00e-01,
8.66000e-06,7.80e-01,4.00e-01,
8.68000e-06,7.60e-01,4.00e-01,
8.70000e-06,7.60e-01,4.00e-01,
8.72000e-06,7.60e-01,4.00e-01,
8.74000e-06,7.60e-01,4.00e-01,
8.76000e-06,7.40e-01,4.00e-01,
8.78000e-06,7.60e-01,4.00e-01,
8.80000e-06,7.40e-01,0.00e+00,
8.82000e-06,7.40e-01,0.00e+00,
8.84000e-06,7.60e-01,0.00e+00,
8.86000e-06,7.40e-01,4.00e-01,
8.88000e-06,7.40e-01,4.00e-01,
8.90000e-06,7.60e-01,4.00e-01,
8.92000e-06,7.60e-01,4.00e-01,
8.94000e-06,7.40e-01,4.00e-01,
8.96000e-06,7.60e-01,4.00e-01,
8.98000e-06,7.60e-01,4.00e-01,
9.00000e-06,7.60e-01,4.00e-01,
9.02000e-06,7.60e-01,4.00e-01,
9.04000e-06,7.60e-01,4.00e-01,
9.06000e-06,7.60e-01,4.00e-01,
9.08000e-06,7.60e-01,4.00e-01,
9.10000e-06,7.60e-01,4.00e-01,
9.12000e-06,7.60e-01,4.00e-01,
9.14000e-06,7.60e-01,4.00e-01,
9.16000e-06,7.60e-01,4.00e-01,
9.18000e-06,7.60e-01,0.00e+00,
9.20000e-06,7.40e-01,4.00e-01,
9.22000e-06,7.40e-01,4.00e-01,
9.24000e-06,7.40e-01,4.00e-01,
9.26000e-06,7.40e-01,4.00e-01,
9.28000e-06,7.40e-01,4.00e-01,
9.30000e-06,7.40e-01,4.00e-01,
9.32000e-06,7.40e-01,4.00e-01,
9.34000e-06,7.60e-01,0.00e+00,
9.36000e-06,7.60e-01,4.00e-01,
9.38000e-06,7.60e-01,4.00e-01,
9.40000e-06,7.60e-01,4.00e-01,
9.42000e-06,7.60e-01,4.00e-01,
9.44000e-06,7.60e-01,4.00e-01,
9.46000e-06,7.60e-01,4.00e-01,
9.48000e-06,7.60e-01,4.00e-01,
9.50000e-06,7.60e-01,4.00e-01,
9.52000e-06,7.60e-01,4.00e-01,
9.54000e-06,7.60e-01,4.00e-01,
9.56000e-06,7.60e-01,4.00e-01,
9.58000e-06,7.60e-01,4.00e-01,
9.60000e-06,7.60e-01,4.00e-01,
9.62000e-06,7.60e-01,4.00e-01,
9.64000e-06,7.40e-01,0.00e+00,
9.66000e-06,7.60e-01,4.00e-01,
9.68000e-06,7.40e-01,4.00e-01,
9.70000e-06,7.40e-01,4.00e-01,
9.72000e-06,7.40e-01,4.00e-01,
9.74000e-06,7.60e-01,4.00e-01,
9.76000e-06,7.60e-01,4.00e-01,
9.78000e-06,7.60e-01,4.00e-01,
9.80000e-06,7.40e-01,4.00e-01,
9.82000e-06,7.60e-01,4.00e-01,
9.84000e-06,7.60e-01,4.00e-01,
9.86000e-06,7.60e-01,4.00e-01,
9.88000e-06,7.60e-01,4.00e-01,
9.90000e-06,7.60e-01,4.00e-01,
9.92000e-06,7.60e-01,4.00e-01,
9.94000e-06,7.60e-01,4.00e-01,
9.96000e-06,7.60e-01,4.00e-01,
9.98000e-06,7.60e-01,4.00e-01,
1.00000e-05,7.40e-01,4.00e-01,
1.00200e-05,7.20e-01,4.00e-01,
1.00400e-05,7.60e-01,0.00e+00,
1.00600e-05,7.40e-01,0.00e+00,
1.00800e-05,7.40e-01,4.00e-01,
1.01000e-05,7.40e-01,4.00e-01,
1.01200e-05,7.40e-01,4.00e-01,
1.01400e-05,7.40e-01,0.00e+00,
1.01600e-05,7.40e-01,4.00e-01,
1.01800e-05,7.40e-01,4.00e-01,
1.02000e-05,7.60e-01,4.00e-01,
1.02200e-05,7.60e-01,0.00e+00,
1.02400e-05,7.60e-01,4.00e-01,
1.02600e-05,7.60e-01,4.00e-01,
1.02800e-05,7.60e-01,4.00e-01,
1.03000e-05,7.60e-01,0.00e+00,
1.03200e-05,7.40e-01,4.00e-01,
1.03400e-05,7.60e-01,4.00e-01,
1.03600e-05,7.40e-01,4.00e-01,
1.03800e-05,7.60e-01,4.00e-01,
1.04000e-05,7.60e-01,4.00e-01,
1.04200e-05,7.60e-01,4.00e-01,
1.04400e-05,7.60e-01,4.00e-01,
1.04600e-05,7.60e-01,4.00e-01,
